0.044 0.94 0.29
0.045 0.94 0.291
0.045 0.937 0.288
0.045 0.934 0.286
0.046 0.93 0.284
0.046 0.927 0.282
0.046 0.924 0.282
0.047 0.921 0.282
0.047 0.918 0.284
0.047 0.916 0.286
0.048 0.913 0.29
0.048 0.911 0.293
0.048 0.909 0.301
0.049 0.907 0.307
0.049 0.906 0.316
0.05 0.906 0.323
0.05 0.906 0.332
0.05 0.908 0.34
0.051 0.91 0.349
0.051 0.915 0.356
0.052 0.919 0.364
0.052 0.926 0.37
0.053 0.931 0.375
0.053 0.939 0.379
0.054 0.946 0.383
0.054 0.954 0.387
0.054 0.962 0.389
0.055 0.97 0.392
0.055 0.978 0.393
0.056 0.986 0.394
0.057 0.993 0.395
0.057 0.999 0.396
0.058 1.006 0.396
0.058 1.012 0.396
0.059 1.019 0.396
0.059 1.025 0.396
0.06 1.031 0.395
0.06 1.036 0.395
0.061 1.042 0.395
0.062 1.046 0.395
0.062 1.052 0.395
0.063 1.057 0.396
0.064 1.063 0.396
0.064 1.07 0.396
0.065 1.077 0.396
0.066 1.084 0.396
0.066 1.092 0.395
0.067 1.099 0.395
0.068 1.107 0.393
0.069 1.114 0.392
0.069 1.121 0.388
0.07 1.127 0.386
0.071 1.134 0.378
0.072 1.139 0.373
0.073 1.145 0.363
0.073 1.149 0.356
0.075 1.154 0.344
0.075 1.156 0.336
0.076 1.158 0.322
0.077 1.156 0.315
0.078 1.152 0.3
0.079 1.148 0.296
0.08 1.136 0.285
0.081 1.132 0.283
0.083 1.113 0.278
0.083 1.109 0.277
0.085 1.091 0.281
0.085 1.086 0.282
0.087 1.071 0.297
0.088 1.066 0.302
0.089 1.055 0.32
0.09 1.052 0.327
0.092 1.047 0.351
0.092 1.046 0.355
0.095 1.046 0.381
0.095 1.046 0.386
0.097 1.049 0.405
0.098 1.052 0.422
0.098 1.055 0.427
0.1 1.065 0.447
0.101 1.071 0.457
0.102 1.079 0.468
0.105 1.093 0.481
0.105 1.096 0.482
0.108 1.12 0.494
0.108 1.122 0.494
0.111 1.147 0.501
0.112 1.149 0.501
0.115 1.173 0.508
0.115 1.181 0.51
0.118 1.197 0.51
0.12 1.218 0.509
0.12 1.221 0.507
0.123 1.239 0.497
0.125 1.257 0.488
0.125 1.258 0.487
0.127 1.277 0.469
0.129 1.292 0.453
0.129 1.293 0.452
0.132 1.296 0.432
0.135 1.299 0.414
0.135 1.299 0.409
0.139 1.3 0.389
0.141 1.301 0.379
0.143 1.3 0.37
0.148 1.297 0.353
0.148 1.297 0.352
0.155 1.299 0.334
0.155 1.299 0.333
0.162 1.316 0.311
0.163 1.317 0.308
0.166 1.319 0.292
0.169 1.32 0.269
0.171 1.319 0.244
0.171 1.319 0.241
0.173 1.311 0.219
0.175 1.304 0.192
0.178 1.296 0.169
0.179 1.293 0.16
0.181 1.277 0.15
0.182 1.264 0.133
0.182 1.253 0.125
0.183 1.238 0.116
0.184 1.229 0.107
0.185 1.215 0.106
0.187 1.191 0.105
0.188 1.163 0.105
0.191 1.132 0.102
0.191 1.131 0.103
0.192 1.105 0.108
0.194 1.076 0.117
0.196 1.053 0.127
0.198 1.023 0.137
0.198 1.022 0.138
0.2 1.001 0.163
0.201 0.984 0.173
0.201 0.976 0.177
0.204 0.954 0.205
0.204 0.951 0.215
0.206 0.945 0.243
0.208 0.932 0.269
0.209 0.927 0.282
0.212 0.912 0.308
0.216 0.903 0.332
0.217 0.899 0.345
0.222 0.886 0.385
0.223 0.884 0.392
0.228 0.874 0.429
0.229 0.871 0.44
0.232 0.866 0.461
0.234 0.861 0.478
0.238 0.854 0.504
0.24 0.851 0.516
0.243 0.846 0.541
0.246 0.842 0.554
0.251 0.832 0.585
0.251 0.832 0.585
0.256 0.82 0.613
0.262 0.81 0.641
0.262 0.809 0.643
0.268 0.802 0.671
0.273 0.793 0.699
0.274 0.792 0.701
0.281 0.78 0.728
0.287 0.765 0.756
0.289 0.761 0.765
0.293 0.757 0.784
